TUCASEID,TULINENO,TEAGE,TERRP,TESEX,TXAGE,TXRRP,TXSEX
20220111211741,3,0,22,2,0,0,0
20220111211751,1,25,18,1,0,0,0
20220111211751,2,26,28,1,0,0,0
20220111211757,1,41,18,2,0,0,0
20220111211757,2,45,20,1,0,0,0
20220111211757,3,16,22,2,0,0,0
20220111211761,1,34,18,1,0,0,0
20220111211761,2,69,24,2,0,0,0
20220111211761,3,64,24,1,0,0,0
20220111211807,1,38,18,1,0,0,0
20220111211807,2,36,20,2,0,0,0
20220111211807,3,2,22,2,0,0,0
20220111211841,1,18,18,1,0,0,0
20220111211841,2,55,24,1,0,0,0
20220111211841,3,43,24,2,0,0,0
20220111211841,4,22,25,2,0,0,0
20220111211865,1,15,18,1,0,0,0
20220111211865,2,52,24,1,0,0,0
20220111211865,3,50,24,2,0,0,0
20220111211865,4,20,25,2,0,0,0
20220111211867,1,42,18,2,0,0,0
20220111211867,2,40,20,1,0,0,0
20220111211867,3,7,22,2,0,0,0
20220111211867,4,2,22,1,0,0,0
20220111211897,1,37,18,2,0,0,0
20220111211897,2,37,20,1,0,0,0
20220111211897,3,4,22,2,0,0,0
20220111211897,4,0,22,2,0,0,0
20220111211910,1,41,18,1,0,0,0
20220111211910,2,41,20,2,0,0,0
20220111211910,3,8,22,1,0,0,0
20220111211910,4,6,22,1,0,0,0
20220111211910,5,4,22,2,0,0,0
20220111211929,1,75,18,1,0,0,0
20220111211929,2,51,20,2,23,0,0
20220111211949,1,80,19,2,60,0,0
20220111211960,1,32,18,2,0,0,0
20220111211960,2,32,21,1,0,0,0
20220111211960,3,8,22,2,0,0,0
20220111211960,4,5,22,1,0,0,0
20220111211960,5,2,22,2,0,0,0
20220111211970,1,61,18,1,0,0,0
20220111211970,2,55,20,2,0,0,0
20220111211989,1,54,19,1,0,0,0
20220111211990,1,43,18,1,0,0,0
20220111211990,2,37,20,2,0,0,0
20220111211990,3,3,22,2,0,0,0
20220111211990,4,8,22,1,0,0,0
20220111212023,1,28,18,2,0,0,0
